,secs_elapsed,qps,change_points
0,1,396245,1
1,2,391588,1
2,3,384771,1
3,4,379317,1
4,5,379297,1
5,6,389454,1
6,7,357011,1
7,8,367250,1
8,9,350991,1
9,10,395687,1
10,11,395027,1
11,12,389541,1
12,13,372894,1
13,14,393786,1
14,15,389978,1
15,16,385380,1
16,17,380185,1
17,18,359456,1
18,19,399830,1
19,20,372498,1
20,21,391493,1
21,22,379412,1
22,23,389540,1
23,24,374018,1
24,25,375320,1
25,26,373423,1
26,27,371124,1
27,28,389933,1
28,29,387461,1
29,30,386366,1
30,31,377139,1
31,32,389385,1
32,33,377831,1
33,34,373518,1
34,35,305173,1
35,36,131891,1
36,37,351962,1
37,38,374011,1
38,39,389712,1
39,40,390080,1
40,41,379834,1
41,42,383481,1
42,43,333624,1
43,44,390418,1
44,45,333773,1
45,46,380138,1
46,47,93281,1
47,48,142564,1
48,49,336193,1
49,50,395465,1
50,51,369242,1
51,52,415421,1
52,53,383442,1
53,54,412282,1
54,55,387950,1
55,56,393128,1
56,57,193846,1
57,58,11201,1
58,59,210403,1
59,60,281126,1
60,61,0,1
61,62,0,1
62,63,190738,1
63,64,340803,1
64,65,349969,1
65,66,389478,1
66,67,413068,1
67,68,413881,1
68,69,348443,1
69,70,423278,1
70,71,408903,1
71,72,317499,1
72,73,336202,1
73,74,0,1
74,75,311825,1
75,76,385114,1
76,77,387045,1
77,78,365942,1
78,79,24766,1
79,80,257946,1
80,81,411175,1
81,82,417024,1
82,83,340553,1
83,84,357739,1
84,85,378651,1
85,86,394442,1
86,87,313643,1
87,88,77988,1
88,89,15338,1
89,90,263559,1
90,91,212549,1
91,93,88625,1
92,94,217543,1
93,95,185318,1
94,96,261726,1
95,97,229801,1
96,98,292883,1
97,99,418985,1
98,100,381073,1
99,101,411005,1
100,102,414857,1
101,103,351096,1
102,104,370667,1
103,105,308688,1
104,106,263352,1
105,107,373332,1
106,108,327674,1
107,109,420528,1
108,110,89597,1
109,111,129908,1
110,112,386330,1
111,113,342919,1
112,114,420860,1
113,115,334791,1
114,116,257051,1
115,117,358357,1
116,118,419585,1
117,119,389270,1
118,120,380139,1
119,121,372795,1
120,122,139954,1
121,123,0,1
122,124,0,1
123,126,0,1
124,127,166104,1
125,128,147468,1
126,129,177930,1
127,130,270260,1
128,131,221244,1
129,132,324479,1
130,133,167060,1
131,134,21362,1
132,135,273223,1
133,136,196996,1
134,137,218113,1
135,138,222909,1
136,139,68958,1
137,140,387818,1
138,141,85295,1
139,142,0,1
140,143,277715,1
141,144,341061,1
142,145,322667,1
143,146,354169,1
144,147,417913,1
145,148,411726,1
146,149,398011,1
147,150,344538,1
148,151,366963,1
149,152,404011,1
150,153,293503,1
151,154,71519,1
152,155,348715,1
153,156,380479,1
154,157,417177,1
155,158,406192,1
156,159,271871,1
157,160,140431,1
158,161,349294,1
159,162,375240,1
160,163,412937,1
161,164,353444,1
162,165,248039,1
163,166,338532,1
164,167,293003,1
165,168,323649,1
166,169,348147,1
167,170,226959,1
168,171,302993,1
169,172,290050,1
170,173,0,1
171,174,39639,1
172,175,355179,1
173,176,96630,1
174,177,92711,1
175,178,195024,1
176,179,420809,1
177,180,408876,1
178,181,396421,1
179,182,283976,1
180,183,419233,1
181,184,390645,1
182,185,213316,1
183,186,128355,1
184,188,46566,1
185,189,342872,1
186,190,342420,1
187,191,251209,1
188,192,0,1
189,193,48677,1
190,194,251137,1
191,195,191732,1
192,196,276785,1
193,197,352625,1
194,198,258613,1
195,199,95005,1
196,200,0,1
197,201,137278,1
198,202,230296,1
199,203,123970,1
200,204,0,1
201,205,124943,1
202,206,338673,1
203,207,27919,1
204,208,195029,1
205,209,255976,1
206,210,203827,1
207,211,254506,1
208,212,152490,1
209,213,368275,1
210,214,376955,1
211,215,359736,1
212,216,402649,1
213,217,331255,1
214,218,419597,1
215,219,120448,1
216,220,241908,1
217,221,412576,1
218,222,344285,1
219,223,375146,1
220,224,420587,1
221,225,171732,2.0
222,227,263813,1
223,228,488339,1
224,229,311893,1
225,230,356876,1
226,231,411334,1
227,232,367325,1
228,233,373304,1
229,234,360678,1
230,235,352910,1
231,236,357720,1
232,237,348199,1
233,238,319481,1
234,239,399075,1
235,240,360997,1
236,241,358498,1
237,242,55371,1
238,244,223853,4.0
239,245,390928,4.0
240,248,787274,8.0
241,250,501286,8.0
242,254,791366,16.0
243,255,443428,16.0
244,257,534912,1
245,258,377127,1.0
246,259,331875,1.0
247,260,441687,1
248,265,471630,1
249,266,313850,1
250,267,398725,1
251,268,297639,1
252,269,382716,1
253,270,425715,1
254,271,240743,1
255,272,323340,1
256,273,419314,1
257,274,228228,1
258,275,127608,1
259,276,343274,1
260,277,381982,1
261,278,403533,1
262,279,410899,1
263,280,298858,1
264,281,27703,1
265,282,367803,1
266,283,369133,1
267,284,357080,1
268,286,388541,1
269,287,421544,1
270,288,34313,1
271,289,204273,1
272,290,341042,1
273,291,322026,1
274,292,272297,1
275,293,334998,1
276,294,0,1
277,295,346776,2.0
278,296,144726,2.0
279,300,624644,4.0
280,301,461375,4.0
281,304,686887,8.0
282,306,459427,8.0
283,307,433610,16.0
284,309,466547,1.0
285,311,459631,1.0
286,312,533128,1
287,319,564905,1
288,320,379524,1
289,321,399049,1
290,322,410630,1
291,323,214945,1
292,324,0,1
293,325,60642,1
294,326,308544,1
295,327,122278,1
296,328,223223,1
297,329,268292,1
298,330,0,1
299,331,100219,1
300,332,292494,1
301,333,119078,1
302,334,366756,1
303,335,104490,1
304,336,0,1
305,337,204511,1
306,338,275154,1
307,339,237924,1
308,340,364063,1
309,341,400596,1
310,342,394517,1
311,343,338449,1
312,344,407517,1
313,345,326145,1
314,346,0,1
315,347,248089,1
316,348,410245,1
317,349,368884,1
318,350,332654,1
319,351,427199,1
320,352,179094,1
321,353,225304,1
322,354,394960,1
323,355,415534,1
324,356,330608,1
325,357,426933,1
326,358,172901,1
327,359,110823,1
328,360,330357,1
329,361,399640,1
330,362,142254,1
331,363,0,1
332,364,153051,1
333,365,338455,2.0
334,366,0,2.0
335,368,659975,4.0
336,372,741328,4.0
337,373,392337,8.0
338,375,400072,8.0
339,376,359646,16.0
340,377,332183,1.0
341,379,330564,1.0
342,380,476672,1
343,384,442150,1
344,385,295099,1
345,386,230457,1
346,387,47505,1
347,388,38007,1
348,389,385005,1
349,390,208918,1
350,391,342752,1
351,392,8462,1
352,393,200764,1
353,394,290732,1
354,395,0,1
355,396,0,1
356,397,298365,1
357,398,283175,1
358,399,359878,1
359,400,41587,1
360,401,0,1
361,402,0,1
362,403,238010,1
363,404,285554,1
364,405,352671,1
365,406,106705,1
366,407,0,1
367,408,56176,1
368,409,293033,1
369,410,142327,1
370,411,68147,1
371,412,227149,1
372,413,256394,1
373,414,356770,1
374,415,74602,1
375,416,0,1
376,417,131138,1
377,418,342491,1
378,419,17867,1
379,420,95606,1
380,421,246145,1
381,422,264677,1
382,423,376576,1
383,424,0,1
384,425,0,1
385,426,0,1
386,427,324357,1
387,428,223453,1
388,429,377334,1
389,430,57862,1
390,431,251116,1
391,432,240405,1
392,433,0,1
393,434,0,1
394,435,198225,1
395,436,300005,1
396,437,340575,1
397,438,285614,1
398,439,368877,1
399,440,411221,1
400,441,61502,1
401,442,228398,1
402,443,412705,1
403,444,403816,1
404,445,401385,1
405,446,414222,1
406,447,105509,1
407,448,0,1
408,449,278973,1
409,450,374310,1
410,451,324868,1
411,452,83489,1
412,453,364398,1
413,454,48545,1
414,455,323903,1
415,456,167629,1
416,458,0,1
417,459,194227,1
418,460,297337,1
419,461,95819,1
420,462,402255,1
421,463,374593,1
422,464,422379,1
423,465,381325,1
424,466,267295,1
425,467,109884,1
426,468,327483,1
427,469,399563,1
428,470,168549,1
429,471,0,1
430,472,0,1
431,473,68587,1
432,474,247062,1
433,475,175906,1
434,476,226765,1
435,477,262988,1
436,478,1836,1
437,479,189084,1
438,480,292972,1
439,481,9510,1
440,482,208059,1
441,483,210798,1
442,484,72652,1
443,485,103030,1
444,486,271759,1
445,487,387440,1
446,488,220852,1
447,489,0,1
448,490,95264,1
449,491,189913,1
450,492,206401,1
451,493,159864,1
452,494,338101,1
453,495,327509,1
454,496,157564,1
455,497,104821,1
456,498,348348,1
457,499,38406,1
458,500,33884,1
459,501,238030,1
460,502,259961,1
461,503,395807,1
462,504,55318,1
463,505,0,1
464,506,29677,1
465,507,329941,1
466,508,255950,1
467,509,317083,1
468,510,50371,1
469,511,0,1
470,512,286543,1
471,513,204998,1
472,514,304489,1
473,515,187067,1
474,516,0,1
475,517,0,1
476,518,377186,1
477,519,114295,1
478,520,126886,1
479,521,292486,1
480,522,72170,1
481,523,126685,1
482,524,364763,1
483,525,0,1
484,526,0,1
485,527,0,1
486,528,151648,1
487,529,339871,1
488,530,0,1
489,531,195593,1
490,532,296025,1
491,533,0,1
492,534,0,1
493,535,256963,1
494,536,366596,1
495,537,391065,1
496,538,420232,1
497,539,39823,1
498,540,29322,1
499,541,388412,1
500,542,307443,1
501,543,257819,1
502,544,0,1
503,545,215507,1
504,546,275975,1
505,547,0,1
506,548,0,1
507,549,368560,1
508,550,122924,1
509,552,175027,1
510,553,316523,1
511,554,0,1
512,555,268468,1
513,556,302557,1
514,557,394135,1
515,558,419145,1
516,559,358130,1
517,560,223702,1
518,561,327531,1
519,562,166682,1
520,563,422034,1
521,564,192735,1
522,565,251446,1
523,566,114202,1
524,567,88021,1
525,568,344466,1
526,569,59054,1
527,570,186732,1
528,571,304827,1
529,572,0,1
530,573,47109,1
531,574,267957,1
532,575,176506,1
533,576,249757,1
534,577,241821,1
535,578,6489,1
536,579,264553,1
537,580,190759,1
538,581,392924,1
539,582,128408,1
540,583,0,1
541,584,0,1
542,585,211158,1
543,586,241739,1
544,587,38590,1
545,588,233148,1
546,589,373741,1
547,590,257079,1
548,591,319064,1
549,592,404958,1
550,593,327870,1
551,594,50196,1
552,595,0,1
553,596,165458,1
554,597,311085,1
555,598,371308,1
556,599,420970,1
557,600,231457,1
558,601,394372,1
559,602,86654,1
560,603,311740,1
561,604,164402,1
562,605,184850,1
563,606,306748,1
564,607,316096,1
565,608,175476,1
566,609,242798,1
567,610,248678,1
568,611,0,1
569,612,251074,1
570,613,351312,1
571,614,274280,1
572,615,106413,1
573,616,325943,1
574,617,165670,1
575,618,51862,1
576,619,409313,1
577,621,30441,1
578,622,51585,1
579,623,375525,1
580,624,361512,1
581,625,194414,1
582,626,0,1
583,627,0,1
584,628,234067,1
585,629,257474,1
586,630,0,1
587,631,0,1
588,632,407900,1
589,633,83668,1
590,634,0,1
591,635,31283,1
592,636,411564,1
593,637,48652,1
594,638,316501,1
595,639,175067,1
596,640,178188,1
597,641,313323,1
598,642,339301,1
599,643,152323,1
600,644,75532,1
601,645,377822,1
602,646,341964,1
603,647,187756,1
604,648,246541,1
605,649,244960,1
606,650,281921,1
607,651,209604,1
608,652,0,1
609,653,0,1
610,654,340172,1
611,655,153329,1
612,656,407061,1
613,657,82508,1
614,658,139165,1
615,659,297461,1
616,660,337942,1
617,661,208529,1
618,662,314840,1
619,663,182447,1
620,664,60032,1
621,665,82225,1
622,666,48784,1
623,667,58516,1
624,668,64038,1
625,669,68313,1
626,670,68026,1
627,671,61611,1
628,672,54581,1
629,673,307021,1
630,674,367104,1
631,675,345587,1
632,676,362097,1
633,677,330814,1
634,678,173205,1
635,679,0,1
636,680,43713,1
637,681,85148,1
638,682,68222,1
639,683,60582,1
640,684,53996,1
641,685,64373,1
642,686,93071,1
643,687,424846,1
644,688,89205,1
645,689,0,1
646,690,0,1
647,691,308371,1
648,692,183149,1
649,693,0,1
650,694,0,1
651,695,339045,1
652,696,254201,1
653,697,286855,1
654,698,266167,1
655,699,328250,1
656,700,209802,1
657,701,402763,1
658,702,370464,1
659,703,379847,1
660,704,291703,1
661,706,333215,1
662,707,355008,1
663,708,193651,1
664,709,405433,1
665,710,7204,1
666,711,0,1
667,712,275519,1
668,713,298384,1
669,714,324547,1
670,715,420486,1
671,716,255107,1
672,717,402905,1
673,718,341366,1
674,719,340678,1
675,720,236495,1
676,721,296461,1
677,722,196403,1
678,723,52297,1
679,724,0,1
680,725,202014,1
681,726,289465,1
682,727,226561,1
683,728,260345,1
684,729,201784,1
685,730,373361,1
686,731,403673,1
687,732,405588,1
688,733,288400,1
689,734,405715,1
690,735,408304,1
691,736,417438,1
692,737,241119,1
693,738,383327,1
694,739,250968,1
695,740,157025,1
696,741,0,1
697,742,303773,1
698,743,187799,1
699,744,293196,1
700,745,198248,1
701,746,334520,1
702,747,156967,1
703,748,253296,1
704,749,238206,1
705,750,83211,1
706,751,407404,1
707,752,403321,1
708,753,227882,1
709,754,352714,1
710,755,94350,1
711,756,303439,1
712,757,93719,1
713,758,92733,1
714,759,271865,1
715,760,126918,1
716,761,0,1
717,762,97093,1
718,763,256306,1
719,764,138104,1
720,765,332893,1
721,766,182553,1
722,767,382370,1
723,768,260960,1
724,769,292706,1
725,770,318489,1
726,771,242483,1
727,772,350988,1
728,773,101401,1
729,774,67097,1
730,775,54551,1
731,776,54564,1
732,777,54561,1
733,778,54580,1
734,779,54524,1
735,780,54590,1
736,781,54533,1
737,782,59512,1
738,783,54527,1
739,784,47866,1
740,786,53284,1
741,787,45011,1
742,788,54527,1
743,789,54598,1
744,790,54525,1
745,791,54585,1
746,792,236886,1
747,793,303087,1
748,794,28855,1
749,795,414991,1
750,796,220938,1
751,797,317560,1
752,798,429827,1
753,799,115713,1
754,800,411376,1
755,801,26728,1
756,802,30373,1
757,803,282861,1
758,804,68234,1
759,805,68177,1
760,806,62888,1
761,807,54550,1
762,808,54553,1
763,809,54605,1
764,810,285168,1
765,811,425086,1
766,812,88123,1
767,813,139124,1
768,814,352415,1
769,815,356538,1
770,816,134951,1
771,817,0,1
772,818,411188,1
773,819,80384,1
774,820,0,1
775,821,54405,1
776,822,48374,1
777,823,62428,1
778,824,54541,1
779,825,54633,1
780,826,60029,1
781,827,68221,1
782,828,302259,1
783,829,278217,1
784,830,0,1
785,831,414964,1
786,832,144258,1
787,833,352246,1
788,834,433171,1
789,835,129876,1
790,836,7309,1
791,837,68123,1
792,838,68244,1
793,839,68168,1
794,840,63628,1
795,841,51001,1
796,842,43640,1
797,843,121450,1
798,844,306825,1
799,845,349336,1
800,846,326911,1
801,847,46766,1
802,848,66279,1
803,849,67195,1
804,850,54543,1
805,851,54563,1
806,852,54587,1
807,853,54783,1
808,854,68200,1
809,855,51083,1
810,856,54583,1
811,857,53528,1
812,858,42515,1
813,859,369077,1
814,860,406823,1
815,861,425782,1
816,862,133946,1
817,863,61170,1
818,864,59996,1
819,865,49034,1
820,866,48837,1
821,867,63430,1
822,868,384785,1
823,869,273143,1
824,870,206536,1
825,871,289703,1
826,872,0,1
827,873,0,1
828,874,49137,1
829,875,68234,1
830,876,68168,1
831,877,58853,1
832,878,302906,1
833,879,229240,1
834,880,206501,1
835,881,9909,1
836,882,264167,1
837,883,217480,1
838,884,0,1
839,886,324146,1
840,887,167393,1
841,888,0,1
842,889,0,1
843,890,0,1
844,891,51856,1
845,892,277681,1
846,893,162049,1
847,894,284525,1
848,895,368750,1
849,896,287732,1
850,897,421706,1
851,898,255279,1
852,899,348051,1
853,900,359353,1
854,901,364213,1
855,902,412627,1
856,903,313446,1
857,904,24965,1
858,905,286427,1
859,906,205125,1
860,907,274996,1
861,908,216521,1
862,909,355358,1
863,910,136159,1
864,911,43410,1
865,912,58196,1
866,913,54568,1
867,914,54533,1
868,915,54601,1
869,916,61184,1
870,917,66252,1
871,918,78169,1
872,919,58618,1
873,920,54170,1
874,921,62668,1
875,922,68220,1
876,923,68181,1
877,924,68085,1
878,925,65365,1
879,926,70158,1
880,927,50527,1
881,928,62270,1
882,929,61441,1
883,930,54559,1
884,931,54548,1
885,932,54547,1
886,933,114817,1
887,934,423837,1
888,935,103161,1
889,936,0,1
890,937,369238,1
891,938,208990,1
892,939,332718,1
893,940,424980,1
894,941,138656,1
895,942,0,1
896,943,385083,1
897,944,106478,1
898,945,0,1
899,946,355138,1
900,947,353742,1
901,948,274278,1
902,949,400350,1
903,950,240842,1
904,951,341843,1
905,952,314568,1
906,953,378230,1
907,954,252423,1
908,955,211514,1
909,956,285254,1
910,957,256565,1
911,958,337533,1
912,959,418007,1
913,960,3661,1
914,961,306973,1
915,962,326916,1
916,963,318859,1
917,964,30365,1
918,966,0,1
919,967,408557,1
920,968,82924,1
921,969,0,1
922,970,0,1
923,971,130051,1
924,972,310753,1
925,973,108589,1
926,974,334348,1
927,975,362546,1
928,976,369499,1
929,977,350418,1
930,978,392272,1
931,979,99213,1
932,980,0,1
933,981,406185,1
934,982,236022,1
935,983,340753,1
936,984,0,1
937,985,0,1
938,986,284723,1
939,987,206841,1
940,988,0,1
941,989,0,1
942,990,0,1
943,991,257103,1
944,992,182821,1
945,993,290521,1
946,994,252609,1
947,995,0,1
948,996,0,1
949,997,283206,1
950,998,208387,1
951,999,0,1
952,1000,0,1
953,1001,48595,1
954,1002,322236,1
955,1003,120708,1
956,1004,382808,1
957,1005,108785,1
958,1006,419378,1
959,1007,347030,1
960,1008,216669,1
961,1009,165562,1
962,1010,325981,1
963,1011,319558,1
964,1012,201298,1
965,1013,423961,1
966,1014,38242,1
967,1015,0,1
968,1016,300880,1
969,1017,190671,1
970,1018,0,1
971,1019,251230,1
972,1020,385774,1
973,1021,346050,1
974,1022,0,1
975,1023,0,1
976,1024,29029,1
977,1025,65535,1
978,1026,68365,1
979,1027,55206,1
980,1028,181320,1
981,1029,314119,1
982,1030,269417,1
983,1031,364399,1
984,1032,127145,1
985,1033,26170,1
986,1034,295984,1
987,1035,169407,1
988,1036,14046,1
989,1037,362725,1
990,1038,114769,1
991,1039,289628,1
992,1040,201918,1
993,1041,390163,1
994,1042,101378,1
995,1043,0,1
996,1044,25110,1
997,1045,376276,1
998,1046,379418,1
999,1047,202223,1
1000,1048,153706,1
1001,1049,270524,1
1002,1050,67318,1
1003,1051,231690,1
1004,1052,259812,1
1005,1053,0,1
1006,1054,195825,1
1007,1055,276635,1
1008,1056,19079,1
1009,1057,0,1
1010,1058,197207,1
1011,1059,310107,1
1012,1060,388620,1
1013,1061,424708,1
1014,1062,153865,1
1015,1063,0,1
1016,1064,0,1
1017,1065,45193,1
1018,1066,415703,1
1019,1067,30611,1
1020,1069,342505,1
1021,1070,149097,1
1022,1071,308182,1
1023,1072,183252,1
1024,1073,337884,1
1025,1074,153656,1
1026,1075,0,1
1027,1076,348831,1
1028,1077,312699,1
1029,1078,321563,1
1030,1079,108271,1
1031,1080,253612,1
1032,1081,129700,1
1033,1082,229850,1
1034,1083,261630,1
1035,1084,52279,1
1036,1085,391866,1
1037,1086,243247,1
1038,1087,405357,1
1039,1088,381799,1
1040,1089,394388,1
1041,1090,97065,1
1042,1091,0,1
1043,1092,296146,1
1044,1093,76648,1
1045,1094,68207,1
1046,1095,64582,1
1047,1096,49123,1
1048,1097,162342,1
1049,1098,420657,1
1050,1099,336938,1
1051,1100,70664,1
1052,1101,342858,1
1053,1102,78064,1
1054,1103,324114,1
1055,1104,289979,1
1056,1105,368841,1
1057,1106,21740,1
1058,1107,420317,1
1059,1108,426182,1
1060,1109,296433,1
1061,1110,236408,1
1062,1111,68127,1
1063,1112,55628,1
1064,1113,53093,1
1065,1114,240912,1
1066,1115,425591,1
1067,1116,213142,1
1068,1117,318956,1
1069,1118,188638,1
1070,1119,57449,1
1071,1120,48869,1
1072,1121,48915,1
1073,1122,52277,1
1074,1123,61047,1
1075,1124,61142,1
1076,1125,61125,1
1077,1126,61089,1
1078,1127,43364,1
1079,1128,102799,1
1080,1129,368839,1
1081,1130,187319,1
1082,1131,304191,1
1083,1132,337278,1
1084,1133,148579,1
1085,1134,55663,1
1086,1135,45906,1
1087,1136,43656,1
1088,1137,43644,1
1089,1138,43659,1
1090,1139,43644,1
1091,1140,43645,1
1092,1141,43641,1
1093,1142,43641,1
1094,1143,43678,1
1095,1144,43629,1
1096,1145,35425,1
1097,1146,34938,1
1098,1147,34890,1
1099,1148,28676,1
1100,1149,27965,1
1101,1150,171653,1
1102,1151,336962,1
1103,1152,315330,1
1104,1153,0,1
1105,1154,0,1
1106,1155,103705,1
1107,1156,350708,1
1108,1157,182015,1
1109,1158,338090,1
1110,1159,250215,1
1111,1160,415421,1
1112,1161,325965,1
1113,1162,303826,1
1114,1163,420265,1
1115,1164,230838,1
1116,1165,35816,1
1117,1166,34665,1
1118,1167,28102,1
1119,1168,25022,1
1120,1169,25666,1
1121,1170,31225,1
1122,1171,31292,1
1123,1172,31297,1
1124,1173,31298,1
1125,1174,31308,1
1126,1175,31253,1
1127,1176,31301,1
1128,1177,151414,1
1129,1178,330624,1
1130,1179,304923,1
1131,1180,373733,1
1132,1181,417084,1
1133,1182,418488,1
1134,1183,421415,1
1135,1184,418372,1
1136,1185,264464,1
1137,1186,25430,1
1138,1187,39354,1
1139,1188,35031,1
1140,1189,35047,1
1141,1190,100337,1
1142,1191,286191,1
1143,1192,422813,1
1144,1193,175136,1
1145,1194,368870,1
1146,1195,420894,1
1147,1196,54419,1
1148,1197,38857,1
1149,1198,39374,1
1150,1199,31407,1
